Company:,GOOG,	,	,	,	,	,	,
Case:,Bearish,	,	,	,	,	,	,
Activity:,Sell,	,	,	,	,	,	,
======================================================================================
Number: ,1,,,,,,,
Found Date: ,2009-01-09,	,	,	,	,	,	,
Enter Date1:,2009-01-12,Enter price:,157.132996,Exit price:,155.334702,Profit rate:,1.1444407258676583 %,
Enter Date2:,2009-01-13,Enter price:,154.87767,Exit price:,156.144424,Profit rate:,-0.8179061578082829 %,
Enter Date3:,2009-01-14,Enter price:,153.998383,Exit price:,149.512558,Profit rate:,2.912903962114964 %,
Enter Date4:,2009-01-15,Enter price:,147.823547,Exit price:,148.528961,Profit rate:,-0.47720002280828705 %,
Enter Date5:,2009-01-16,Enter price:,151.524475,Exit price:,148.86676,Profit rate:,1.7539839685964898 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,4.516222475962542 %,
	,	,	,	,Total cumulative:,,Profit rate:,4.516222475962542 %,
Exit 5th day:,2009-01-12
		    to
		2009-01-16,Enter price:,157.132996,Exit price:,148.86676,Profit rate:,5.260662120895342 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,2,,,,,,,
Found Date: ,2009-01-30,	,	,	,	,	,	,
Enter Date1:,2009-02-02,Enter price:,166.064911,Exit price:,169.184616,Profit rate:,-1.8786057700052063 %,
Enter Date2:,2009-02-03,Enter price:,170.178162,Exit price:,169.125,Profit rate:,0.618858487847569 %,
Enter Date3:,2009-02-04,Enter price:,168.936234,Exit price:,170.391769,Profit rate:,-0.8615884026395413 %,
Enter Date4:,2009-02-05,Enter price:,169.353516,Exit price:,175.717133,Profit rate:,-3.757593671689684 %,
Enter Date5:,2009-02-06,Enter price:,177.078278,Exit price:,184.440399,Profit rate:,-4.157551724102491 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-10.036481080589354 %,
	,	,	,	,Total cumulative:,,Profit rate:,-5.520258604626812 %,
Exit 5th day:,2009-02-02
		    to
		2009-02-06,Enter price:,166.064911,Exit price:,184.440399,Profit rate:,-11.065244240548818 %,
,,Win:,1,Lose:,4,,,
======================================================================================
Number: ,3,,,,,,,
Found Date: ,2009-02-23,	,	,	,	,	,	,
Enter Date1:,2009-02-24,Enter price:,164.440475,Exit price:,171.608856,Profit rate:,-4.359255834063974 %,
Enter Date2:,2009-02-25,Enter price:,169.969513,Exit price:,169.716156,Profit rate:,0.14906026117754073 %,
Enter Date3:,2009-02-26,Enter price:,171.862198,Exit price:,167.500565,Profit rate:,2.537866413182969 %,
Enter Date4:,2009-02-27,Enter price:,165.399231,Exit price:,167.902954,Profit rate:,-1.5137452483077192 %,
Enter Date5:,2009-03-02,Enter price:,165.588013,Exit price:,162.522949,Profit rate:,1.8510180444039621 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-1.3350563636072224 %,
	,	,	,	,Total cumulative:,,Profit rate:,-6.855314968234034 %,
Exit 5th day:,2009-02-24
		    to
		2009-03-02,Enter price:,164.440475,Exit price:,162.522949,Profit rate:,1.166091255817633 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,4,,,,,,,
Found Date: ,2009-02-26,	,	,	,	,	,	,
Enter Date1:,2009-02-27,Enter price:,165.399231,Exit price:,167.902954,Profit rate:,-1.5137452483077192 %,
Enter Date2:,2009-03-02,Enter price:,165.588013,Exit price:,162.522949,Profit rate:,1.8510180444039621 %,
Enter Date3:,2009-03-03,Enter price:,163.968536,Exit price:,161.68837,Profit rate:,1.3906119159349013 %,
Enter Date4:,2009-03-04,Enter price:,160.535873,Exit price:,158.429565,Profit rate:,1.312048180035133 %,
Enter Date5:,2009-03-05,Enter price:,157.217453,Exit price:,151.832474,Profit rate:,3.425178882652434 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,6.465111774718711 %,
	,	,	,	,Total cumulative:,,Profit rate:,-0.3902031935153234 %,
Exit 5th day:,2009-02-27
		    to
		2009-03-05,Enter price:,165.399231,Exit price:,151.832474,Profit rate:,8.202430517950834 %,
,,Win:,4,Lose:,1,,,
======================================================================================
Number: ,5,,,,,,,
Found Date: ,2009-09-30,	,	,	,	,	,	,
Enter Date1:,2009-10-01,Enter price:,244.90712,Exit price:,242.025848,Profit rate:,1.176475391977169 %,
Enter Date2:,2009-10-02,Enter price:,240.307037,Exit price:,240.724319,Profit rate:,-0.1736453518837237 %,
Enter Date3:,2009-10-05,Enter price:,242.249405,Exit price:,242.681595,Profit rate:,-0.1784070429398955 %,
Enter Date4:,2009-10-06,Enter price:,244.261322,Exit price:,247.758575,Profit rate:,-1.431766999115808 %,
Enter Date5:,2009-10-07,Enter price:,247.887726,Exit price:,257.097839,Profit rate:,-3.7154372863140614 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-4.322781288276319 %,
	,	,	,	,Total cumulative:,,Profit rate:,-4.712984481791643 %,
Exit 5th day:,2009-10-01
		    to
		2009-10-07,Enter price:,244.90712,Exit price:,257.097839,Profit rate:,-4.9776907261822485 %,
,,Win:,1,Lose:,4,,,
======================================================================================
Number: ,6,,,,,,,
Found Date: ,2009-12-04,	,	,	,	,	,	,
Enter Date1:,2009-12-07,Enter price:,290.217407,Exit price:,291.230835,Profit rate:,-0.34919614590865433 %,
Enter Date2:,2009-12-08,Enter price:,289.864716,Exit price:,291.628235,Profit rate:,-0.6083938136161529 %,
Enter Date3:,2009-12-09,Enter price:,291.851776,Exit price:,292.606873,Profit rate:,-0.25872619668418084 %,
Enter Date4:,2009-12-10,Enter price:,293.312286,Exit price:,293.838867,Profit rate:,-0.17952913162322207 %,
Enter Date5:,2009-12-11,Enter price:,295.418579,Exit price:,293.347046,Profit rate:,0.7012196074506353 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-0.6946256803815748 %,
	,	,	,	,Total cumulative:,,Profit rate:,-5.407610162173217 %,
Exit 5th day:,2009-12-07
		    to
		2009-12-11,Enter price:,290.217407,Exit price:,293.347046,Profit rate:,-1.0783774248248306 %,
,,Win:,1,Lose:,4,,,
======================================================================================
Number: ,7,,,,,,,
Found Date: ,2010-05-18,	,	,	,	,	,	,
Enter Date1:,2010-05-19,Enter price:,246.526581,Exit price:,245.617493,Profit rate:,0.3687586126868798 %,
Enter Date2:,2010-05-20,Enter price:,240.967743,Exit price:,235.970245,Profit rate:,2.0739282103829173 %,
Enter Date3:,2010-05-21,Enter price:,233.014465,Exit price:,234.499802,Profit rate:,-0.637444117471414 %,
Enter Date4:,2010-05-24,Enter price:,238.811752,Exit price:,237.0383,Profit rate:,0.7426150451758422 %,
Enter Date5:,2010-05-25,Enter price:,232.562408,Exit price:,236.993591,Profit rate:,-1.9053737180086319 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,0.6424840327655936 %,
	,	,	,	,Total cumulative:,,Profit rate:,-4.765126129407624 %,
Exit 5th day:,2010-05-19
		    to
		2010-05-25,Enter price:,246.526581,Exit price:,236.993591,Profit rate:,3.86692175802332 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,8,,,,,,,
Found Date: ,2010-07-06,	,	,	,	,	,	,
Enter Date1:,2010-07-07,Enter price:,217.738815,Exit price:,223.645401,Profit rate:,-2.7126931870185866 %,
Enter Date2:,2010-07-08,Enter price:,225.309586,Exit price:,226.804855,Profit rate:,-0.6636508577136205 %,
Enter Date3:,2010-07-09,Enter price:,234.455093,Exit price:,232.234543,Profit rate:,0.9471110102948384 %,
Enter Date4:,2010-07-12,Enter price:,234.658768,Exit price:,236.377594,Profit rate:,-0.7324789159380477 %,
Enter Date5:,2010-07-13,Enter price:,239.566849,Exit price:,243.019394,Profit rate:,-1.4411614187904667 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-4.602873369165883 %,
	,	,	,	,Total cumulative:,,Profit rate:,-9.367999498573507 %,
Exit 5th day:,2010-07-07
		    to
		2010-07-13,Enter price:,217.738815,Exit price:,243.019394,Profit rate:,-11.610506376642133 %,
