Company:,NVDA,	,	,	,	,	,	,
Case:,Bullish,	,	,	,	,	,	,
Activity:,Buy,	,	,	,	,	,	,
======================================================================================
Number: ,1,,,,,,,
Found Date: ,2009-02-02,	,	,	,	,	,	,
Enter Date1:,2009-02-03,Enter price:,8.4,Exit price:,8.48,Profit rate:,0.9523809523809532 %,
Enter Date2:,2009-02-04,Enter price:,8.5,Exit price:,8.72,Profit rate:,2.5882352941176547 %,
Enter Date3:,2009-02-05,Enter price:,8.49,Exit price:,9.36,Profit rate:,10.247349823321546 %,
Enter Date4:,2009-02-06,Enter price:,9.39,Exit price:,9.87,Profit rate:,5.111821086261966 %,
Enter Date5:,2009-02-09,Enter price:,9.83,Exit price:,9.74,Profit rate:,-0.9155645981688695 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,17.98422255791325 %,
	,	,	,	,Total cumulative:,,Profit rate:,17.98422255791325 %,
Exit 5th day:,2009-02-03
		    to
		2009-02-09,Enter price:,8.4,Exit price:,9.74,Profit rate:,15.95238095238095 %,
,,Win:,4,Lose:,1,,,
======================================================================================
Number: ,2,,,,,,,
Found Date: ,2009-02-05,	,	,	,	,	,	,
Enter Date1:,2009-02-06,Enter price:,9.39,Exit price:,9.87,Profit rate:,5.111821086261966 %,
Enter Date2:,2009-02-09,Enter price:,9.83,Exit price:,9.74,Profit rate:,-0.9155645981688695 %,
Enter Date3:,2009-02-10,Enter price:,9.73,Exit price:,9.32,Profit rate:,-4.2137718396711215 %,
Enter Date4:,2009-02-11,Enter price:,8.58,Exit price:,8.15,Profit rate:,-5.011655011655009 %,
Enter Date5:,2009-02-12,Enter price:,7.97,Exit price:,8.32,Profit rate:,4.391468005018828 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-0.6377023582142058 %,
	,	,	,	,Total cumulative:,,Profit rate:,17.346520199699043 %,
Exit 5th day:,2009-02-06
		    to
		2009-02-12,Enter price:,9.39,Exit price:,8.32,Profit rate:,-11.395101171459002 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,3,,,,,,,
Found Date: ,2009-03-06,	,	,	,	,	,	,
Enter Date1:,2009-03-09,Enter price:,8.33,Exit price:,8.3,Profit rate:,-0.3601440576230415 %,
Enter Date2:,2009-03-10,Enter price:,8.6,Exit price:,9.05,Profit rate:,5.232558139534897 %,
Enter Date3:,2009-03-11,Enter price:,9.05,Exit price:,9.3,Profit rate:,2.7624309392265194 %,
Enter Date4:,2009-03-12,Enter price:,9.27,Exit price:,9.85,Profit rate:,6.256742179072278 %,
