Date,Open,High,Low,Close,Adj Close,Volume
2008-12-26,2.340000,2.490000,2.230000,2.480000,2.393872,2606500
2008-12-29,2.650000,2.780000,2.550000,2.710000,2.615886,6102100
2008-12-30,2.730000,2.750000,2.610000,2.700000,2.606233,3891300
2008-12-31,2.690000,2.860000,2.610000,2.800000,2.702760,4500200
2009-01-02,2.790000,2.900000,2.750000,2.770000,2.673802,2977100
2009-01-05,2.630000,2.820000,2.500000,2.760000,2.664149,4174100
2009-01-06,2.780000,2.950000,2.710000,2.880000,2.779982,4286000
2009-01-07,2.800000,2.890000,2.500000,2.580000,2.490400,4513600
2009-01-08,2.700000,2.700000,2.560000,2.640000,2.548316,3393900
2009-01-09,2.600000,2.700000,2.510000,2.550000,2.461442,2842500
2009-01-12,2.550000,2.550000,2.230000,2.280000,2.200819,3872700
2009-01-13,2.260000,2.370000,2.130000,2.320000,2.239430,4300700
2009-01-14,2.260000,2.300000,2.070000,2.120000,2.046376,3643100
2009-01-15,2.120000,2.180000,1.890000,2.070000,1.998112,6894600
2009-01-16,2.270000,2.300000,2.150000,2.280000,2.200819,4737500
2009-01-20,2.380000,2.450000,2.200000,2.200000,2.123597,4621800
2009-01-21,2.310000,2.380000,2.100000,2.350000,2.268388,3361700
2009-01-22,2.230000,2.360000,2.200000,2.280000,2.200819,3553600
2009-01-23,2.360000,2.640000,2.350000,2.530000,2.442137,5425700
2009-01-26,2.600000,2.770000,2.500000,2.540000,2.451789,5356100
2009-01-27,2.520000,2.560000,2.410000,2.480000,2.393872,2527300
2009-01-28,2.500000,2.570000,2.360000,2.570000,2.480747,5586800
2009-01-29,2.520000,2.700000,2.410000,2.670000,2.577275,4611400
2009-01-30,2.760000,2.800000,2.490000,2.650000,2.557969,5407000
2009-02-02,2.620000,2.650000,2.390000,2.510000,2.422832,3565300
2009-02-03,2.540000,2.540000,2.380000,2.430000,2.345610,2839300
2009-02-04,2.400000,2.400000,1.990000,2.170000,2.094639,12539300
2009-02-05,1.860000,1.880000,1.650000,1.830000,1.766447,20982600
2009-02-06,1.900000,1.950000,1.730000,1.770000,1.708530,22953600
2009-02-09,1.820000,1.830000,1.760000,1.770000,1.708530,4703900
2009-02-10,1.800000,1.820000,1.730000,1.740000,1.679572,7330200
2009-02-11,1.760000,1.870000,1.740000,1.870000,1.805057,7813600
2009-02-12,1.890000,1.890000,1.780000,1.830000,1.766447,4486800
2009-02-13,1.800000,1.850000,1.680000,1.750000,1.689225,6822000
2009-02-17,1.830000,1.840000,1.720000,1.770000,1.708530,5367400
2009-02-18,1.820000,1.820000,1.670000,1.770000,1.708530,3352500
2009-02-19,1.780000,1.800000,1.680000,1.680000,1.621656,3088600
2009-02-20,1.760000,1.770000,1.700000,1.730000,1.669919,4898800
2009-02-23,1.720000,1.740000,1.660000,1.700000,1.640961,4510400
2009-02-24,1.690000,1.700000,1.540000,1.590000,1.534781,6572900
2009-02-25,1.590000,1.620000,1.460000,1.460000,1.409296,4241500
2009-02-26,1.470000,1.510000,1.400000,1.420000,1.370685,4402100
2009-02-27,1.430000,1.570000,1.400000,1.520000,1.467212,5647700
2009-03-02,1.540000,1.560000,1.240000,1.260000,1.216242,6350700
2009-03-03,1.310000,1.350000,1.200000,1.240000,1.196936,5322600
2009-03-04,1.330000,1.340000,1.250000,1.270000,1.225894,3623700
2009-03-05,1.290000,1.340000,1.220000,1.240000,1.196936,3756300
2009-03-06,1.310000,1.350000,1.240000,1.270000,1.225894,3897600
2009-03-09,1.310000,1.350000,1.240000,1.280000,1.235547,3719600
2009-03-10,1.340000,1.340000,1.170000,1.230000,1.187284,4681100
2009-03-11,1.250000,1.450000,1.200000,1.330000,1.283811,7264700
2009-03-12,1.370000,1.470000,1.320000,1.450000,1.399643,4027100
2009-03-13,1.500000,1.550000,1.450000,1.500000,1.447907,2773000
2009-03-16,1.500000,1.530000,1.440000,1.460000,1.409296,2320100
2009-03-17,1.460000,1.490000,1.400000,1.460000,1.409296,2067100
2009-03-18,1.460000,1.720000,1.400000,1.690000,1.631308,5069400
2009-03-19,1.760000,2.120000,1.760000,2.040000,1.969153,13249200
2009-03-20,2.000000,2.190000,1.900000,2.190000,2.113944,14475600
2009-03-23,2.150000,2.210000,2.020000,2.150000,2.075333,9584800
2009-03-24,2.060000,2.070000,1.880000,1.990000,1.920890,5930300
2009-03-25,1.930000,2.140000,1.900000,2.060000,1.988459,6318600
2009-03-26,2.110000,2.280000,2.090000,2.220000,2.142902,8989400
2009-03-27,2.150000,2.180000,2.070000,2.130000,2.056028,4220900
2009-03-30,2.040000,2.120000,1.880000,1.880000,1.814710,8278700
2009-03-31,1.930000,2.090000,1.910000,2.000000,1.930543,12203200
2009-04-01,2.010000,2.190000,2.000000,2.180000,2.104292,6724600
2009-04-02,2.130000,2.210000,2.050000,2.200000,2.123597,7014100
2009-04-03,2.190000,2.190000,2.010000,2.060000,1.988459,5597900
2009-04-06,2.060000,2.060000,1.850000,2.030000,1.959501,5463500
2009-04-07,2.000000,2.140000,2.000000,2.030000,1.959501,6508300
2009-04-08,2.140000,2.140000,2.010000,2.050000,1.978806,3505900
2009-04-09,2.010000,2.150000,2.010000,2.110000,2.036722,3572300
