Company:,HL,	,	,	,	,	,	,
Case:,Bullish,	,	,	,	,	,	,
Activity:,Buy,	,	,	,	,	,	,
======================================================================================
Number: ,1,,,,,,,
Found Date: ,2008-12-31,	,	,	,	,	,	,
Enter Date1:,2009-01-02,Enter price:,2.79,Exit price:,2.77,Profit rate:,-0.7168458781362014 %,
Enter Date2:,2009-01-05,Enter price:,2.63,Exit price:,2.76,Profit rate:,4.942965779467677 %,
Enter Date3:,2009-01-06,Enter price:,2.78,Exit price:,2.88,Profit rate:,3.5971223021582768 %,
Enter Date4:,2009-01-07,Enter price:,2.8,Exit price:,2.58,Profit rate:,-7.857142857142849 %,
Enter Date5:,2009-01-08,Enter price:,2.7,Exit price:,2.64,Profit rate:,-2.222222222222224 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-2.2561228758753202 %,
	,	,	,	,Total cumulative:,,Profit rate:,-2.2561228758753202 %,
Exit 5th day:,2009-01-02
		    to
		2009-01-08,Enter price:,2.79,Exit price:,2.64,Profit rate:,-5.376344086021502 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,2,,,,,,,
Found Date: ,2009-05-01,	,	,	,	,	,	,
Enter Date1:,2009-05-04,Enter price:,2.73,Exit price:,2.76,Profit rate:,1.0989010989010917 %,
Enter Date2:,2009-05-05,Enter price:,2.87,Exit price:,2.89,Profit rate:,0.6968641114982584 %,
Enter Date3:,2009-05-06,Enter price:,2.95,Exit price:,3.09,Profit rate:,4.745762711864396 %,
Enter Date4:,2009-05-07,Enter price:,3.22,Exit price:,3.05,Profit rate:,-5.279503105590074 %,
Enter Date5:,2009-05-08,Enter price:,3.07,Exit price:,3.21,Profit rate:,4.560260586319222 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,5.822285402992895 %,
	,	,	,	,Total cumulative:,,Profit rate:,3.5661625271175748 %,
Exit 5th day:,2009-05-04
		    to
		2009-05-08,Enter price:,2.73,Exit price:,3.21,Profit rate:,17.58241758241758 %,
,,Win:,4,Lose:,1,,,
======================================================================================
Number: ,3,,,,,,,
Found Date: ,2009-08-04,	,	,	,	,	,	,
Enter Date1:,2009-08-05,Enter price:,3.34,Exit price:,3.44,Profit rate:,2.994011976047907 %,
Enter Date2:,2009-08-06,Enter price:,3.49,Exit price:,3.32,Profit rate:,-4.8710601719197815 %,
Enter Date3:,2009-08-07,Enter price:,3.34,Exit price:,3.31,Profit rate:,-0.8982035928143655 %,
Enter Date4:,2009-08-10,Enter price:,3.21,Exit price:,3.12,Profit rate:,-2.8037383177570048 %,
Enter Date5:,2009-08-11,Enter price:,3.13,Exit price:,2.96,Profit rate:,-5.431309904153352 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-11.010300010596596 %,
	,	,	,	,Total cumulative:,,Profit rate:,-7.444137483479022 %,
Exit 5th day:,2009-08-05
		    to
		2009-08-11,Enter price:,3.34,Exit price:,2.96,Profit rate:,-11.377245508982032 %,
,,Win:,1,Lose:,4,,,
======================================================================================
Number: ,4,,,,,,,
Found Date: ,2009-08-19,	,	,	,	,	,	,
Enter Date1:,2009-08-20,Enter price:,2.98,Exit price:,2.96,Profit rate:,-0.671140939597316 %,
Enter Date2:,2009-08-21,Enter price:,3.02,Exit price:,3.07,Profit rate:,1.655629139072842 %,
Enter Date3:,2009-08-24,Enter price:,3.11,Exit price:,2.98,Profit rate:,-4.1800643086816685 %,
Enter Date4:,2009-08-25,Enter price:,3.06,Exit price:,3.03,Profit rate:,-0.9803921568627533 %,
Enter Date5:,2009-08-26,Enter price:,3.04,Exit price:,3.05,Profit rate:,0.3289473684210456 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-3.8470208976478504 %,
	,	,	,	,Total cumulative:,,Profit rate:,-11.291158381126872 %,
Exit 5th day:,2009-08-20
		    to
