Company:,BBY,	,	,	,	,	,	,
Case:,Bearish,	,	,	,	,	,	,
Activity:,Sell,	,	,	,	,	,	,
======================================================================================
Number: ,1,,,,,,,
Found Date: ,2009-04-29,	,	,	,	,	,	,
Enter Date1:,2009-04-30,Enter price:,38.099998,Exit price:,38.380001,Profit rate:,-0.7349160490769597 %,
Enter Date2:,2009-05-01,Enter price:,38.200001,Exit price:,37.200001,Profit rate:,2.6178009785915974 %,
Enter Date3:,2009-05-04,Enter price:,37.57,Exit price:,40.380001,Profit rate:,-7.479374500931593 %,
Enter Date4:,2009-05-05,Enter price:,40.279999,Exit price:,40.869999,Profit rate:,-1.464746808955987 %,
Enter Date5:,2009-05-06,Enter price:,41.580002,Exit price:,39.5,Profit rate:,5.002409571793672 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-2.058826808579271 %,
	,	,	,	,Total cumulative:,,Profit rate:,-2.058826808579271 %,
Exit 5th day:,2009-04-30
		    to
		2009-05-06,Enter price:,38.099998,Exit price:,39.5,Profit rate:,-3.6745461246480926 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,2,,,,,,,
Found Date: ,2009-05-06,	,	,	,	,	,	,
Enter Date1:,2009-05-07,Enter price:,40.240002,Exit price:,39.040001,Profit rate:,2.9821096927380877 %,
Enter Date2:,2009-05-08,Enter price:,38.25,Exit price:,37.93,Profit rate:,0.8366013071895433 %,
Enter Date3:,2009-05-11,Enter price:,37.419998,Exit price:,38.16,Profit rate:,-1.9775575616011443 %,
Enter Date4:,2009-05-12,Enter price:,38.490002,Exit price:,37.060001,Profit rate:,3.715253119498402 %,
Enter Date5:,2009-05-13,Enter price:,36.189999,Exit price:,35.200001,Profit rate:,2.73555685923064 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,8.291963417055529 %,
	,	,	,	,Total cumulative:,,Profit rate:,6.233136608476258 %,
Exit 5th day:,2009-05-07
		    to
		2009-05-13,Enter price:,40.240002,Exit price:,35.200001,Profit rate:,12.52485275721407 %,
,,Win:,4,Lose:,1,,,
======================================================================================
Number: ,3,,,,,,,
Found Date: ,2009-05-20,	,	,	,	,	,	,
Enter Date1:,2009-05-21,Enter price:,35.630001,Exit price:,35.23,Profit rate:,1.1226522278234097 %,
Enter Date2:,2009-05-22,Enter price:,35.389999,Exit price:,35.18,Profit rate:,0.5933851538114012 %,
Enter Date3:,2009-05-26,Enter price:,34.919998,Exit price:,37.049999,Profit rate:,-6.099659570427238 %,
Enter Date4:,2009-05-27,Enter price:,36.959999,Exit price:,35.27,Profit rate:,4.572508240598167 %,
Enter Date5:,2009-05-28,Enter price:,35.25,Exit price:,34.939999,Profit rate:,0.8794354609929071 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,1.0683215127986474 %,
	,	,	,	,Total cumulative:,,Profit rate:,7.301458121274905 %,
Exit 5th day:,2009-05-21
		    to
		2009-05-28,Enter price:,35.630001,Exit price:,34.939999,Profit rate:,1.936575864816843 %,
,,Win:,4,Lose:,1,,,
======================================================================================
Number: ,4,,,,,,,
Found Date: ,2009-06-10,	,	,	,	,	,	,
Enter Date1:,2009-06-11,Enter price:,38.41,Exit price:,37.23,Profit rate:,3.0721166362926313 %,
Enter Date2:,2009-06-12,Enter price:,37.130001,Exit price:,38.549999,Profit rate:,-3.824395264627113 %,
