Company:,EA,	,	,	,	,	,	,
Case:,Bullish,	,	,	,	,	,	,
Activity:,Buy,	,	,	,	,	,	,
======================================================================================
Number: ,1,,,,,,,
Found Date: ,2009-02-03,	,	,	,	,	,	,
Enter Date1:,2009-02-04,Enter price:,16.299999,Exit price:,17.27,Profit rate:,5.950926745455628 %,
Enter Date2:,2009-02-05,Enter price:,17.1,Exit price:,18.700001,Profit rate:,9.35673099415204 %,
Enter Date3:,2009-02-06,Enter price:,18.93,Exit price:,19.34,Profit rate:,2.165874273639726 %,
Enter Date4:,2009-02-09,Enter price:,19.1,Exit price:,18.58,Profit rate:,-2.722513089005252 %,
Enter Date5:,2009-02-10,Enter price:,18.450001,Exit price:,16.84,Profit rate:,-8.726292209957064 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,6.024726714285077 %,
	,	,	,	,Total cumulative:,,Profit rate:,6.024726714285077 %,
Exit 5th day:,2009-02-04
		    to
		2009-02-10,Enter price:,16.299999,Exit price:,16.84,Profit rate:,3.3128897737969196 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,2,,,,,,,
Found Date: ,2009-03-17,	,	,	,	,	,	,
Enter Date1:,2009-03-18,Enter price:,18.389999,Exit price:,18.790001,Profit rate:,2.1751061541656456 %,
Enter Date2:,2009-03-19,Enter price:,18.99,Exit price:,18.940001,Profit rate:,-0.26329120589783933 %,
Enter Date3:,2009-03-20,Enter price:,18.450001,Exit price:,18.219999,Profit rate:,-1.2466232386654013 %,
Enter Date4:,2009-03-23,Enter price:,18.299999,Exit price:,19.65,Profit rate:,7.3770550479265 %,
Enter Date5:,2009-03-24,Enter price:,19.440001,Exit price:,19.15,Profit rate:,-1.4917746146206483 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,6.550472142908256 %,
	,	,	,	,Total cumulative:,,Profit rate:,12.575198857193332 %,
Exit 5th day:,2009-03-18
		    to
		2009-03-24,Enter price:,18.389999,Exit price:,19.15,Profit rate:,4.132686467247764 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,3,,,,,,,
Found Date: ,2009-04-01,	,	,	,	,	,	,
Enter Date1:,2009-04-02,Enter price:,18.469999,Exit price:,19.450001,Profit rate:,5.30591257747225 %,
Enter Date2:,2009-04-03,Enter price:,19.26,Exit price:,20.700001,Profit rate:,7.47664070612668 %,
Enter Date3:,2009-04-06,Enter price:,20.49,Exit price:,19.690001,Profit rate:,-3.9043387018057576 %,
Enter Date4:,2009-04-07,Enter price:,19.459999,Exit price:,19.17,Profit rate:,-1.4902313201557622 %,
Enter Date5:,2009-04-08,Enter price:,19.35,Exit price:,19.620001,Profit rate:,1.3953540051679434 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,8.783337266805352 %,
	,	,	,	,Total cumulative:,,Profit rate:,21.358536123998682 %,
Exit 5th day:,2009-04-02
		    to
		2009-04-08,Enter price:,18.469999,Exit price:,19.620001,Profit rate:,6.226324105377574 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,4,,,,,,,
Found Date: ,2009-05-26,	,	,	,	,	,	,
Enter Date1:,2009-05-27,Enter price:,22.33,Exit price:,22.139999,Profit rate:,-0.850877742946703 %,
Enter Date2:,2009-05-28,Enter price:,21.809999,Exit price:,22.32,Profit rate:,2.3383815836030024 %,
Enter Date3:,2009-05-29,Enter price:,21.91,Exit price:,22.99,Profit rate:,4.929256047466903 %,
Enter Date4:,2009-06-01,Enter price:,23.68,Exit price:,23.459999,Profit rate:,-0.9290582770270266 %,
Enter Date5:,2009-06-02,Enter price:,23.25,Exit price:,23.1,Profit rate:,-0.6451612903225745 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,4.842540320773601 %,
	,	,	,	,Total cumulative:,,Profit rate:,26.201076444772283 %,
