Company:,ATVI,	,	,	,	,	,	,
Case:,Bearish,	,	,	,	,	,	,
Activity:,Sell,	,	,	,	,	,	,
======================================================================================
Number: ,1,,,,,,,
Found Date: ,2009-01-12,	,	,	,	,	,	,
Enter Date1:,2009-01-13,Enter price:,9.1,Exit price:,9.16,Profit rate:,-0.6593406593406648 %,
Enter Date2:,2009-01-14,Enter price:,9.19,Exit price:,9.06,Profit rate:,1.4145810663764853 %,
Enter Date3:,2009-01-15,Enter price:,9.06,Exit price:,9.16,Profit rate:,-1.1037527593818945 %,
Enter Date4:,2009-01-16,Enter price:,9.46,Exit price:,9.57,Profit rate:,-1.1627906976744125 %,
Enter Date5:,2009-01-20,Enter price:,9.38,Exit price:,9.04,Profit rate:,3.6247334754797613 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,2.113430425459275 %,
	,	,	,	,Total cumulative:,,Profit rate:,2.113430425459275 %,
Exit 5th day:,2009-01-13
		    to
		2009-01-20,Enter price:,9.1,Exit price:,9.04,Profit rate:,0.6593406593406648 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,2,,,,,,,
Found Date: ,2009-05-05,	,	,	,	,	,	,
Enter Date1:,2009-05-06,Enter price:,11.03,Exit price:,10.97,Profit rate:,0.5439709882139504 %,
Enter Date2:,2009-05-07,Enter price:,11.09,Exit price:,11.0,Profit rate:,0.8115419296663648 %,
Enter Date3:,2009-05-08,Enter price:,11.4,Exit price:,11.81,Profit rate:,-3.596491228070177 %,
Enter Date4:,2009-05-11,Enter price:,11.73,Exit price:,11.5,Profit rate:,1.9607843137254937 %,
Enter Date5:,2009-05-12,Enter price:,11.64,Exit price:,11.4,Profit rate:,2.0618556701030943 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,1.7816616736387265 %,
	,	,	,	,Total cumulative:,,Profit rate:,3.895092099098002 %,
Exit 5th day:,2009-05-06
		    to
		2009-05-12,Enter price:,11.03,Exit price:,11.4,Profit rate:,-3.3544877606527743 %,
,,Win:,4,Lose:,1,,,
======================================================================================
Number: ,3,,,,,,,
Found Date: ,2009-07-27,	,	,	,	,	,	,
Enter Date1:,2009-07-28,Enter price:,11.1,Exit price:,11.38,Profit rate:,-2.5225225225225327 %,
Enter Date2:,2009-07-29,Enter price:,11.35,Exit price:,11.37,Profit rate:,-0.17621145374448965 %,
Enter Date3:,2009-07-30,Enter price:,11.52,Exit price:,11.4,Profit rate:,1.0416666666666599 %,
Enter Date4:,2009-07-31,Enter price:,11.35,Exit price:,11.45,Profit rate:,-0.8810572687224639 %,
Enter Date5:,2009-08-03,Enter price:,11.65,Exit price:,11.46,Profit rate:,1.6309012875536437 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-0.9072232907691831 %,
	,	,	,	,Total cumulative:,,Profit rate:,2.9878688083288187 %,
Exit 5th day:,2009-07-28
		    to
		2009-08-03,Enter price:,11.1,Exit price:,11.46,Profit rate:,-3.2432432432432545 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,4,,,,,,,
Found Date: ,2009-08-31,	,	,	,	,	,	,
