Company: ,Comcast Corporation Class A 
Date,Open,High,Low,Close,Prediction,Earning
2020-10-19,45.560001,45.759998,44.200001,44.330002,N/A	,0.000000
2020-10-20,44.630001,44.660000,44.130001,44.270000,N/A	,0.000000
2020-10-21,44.000000,44.900002,43.970001,44.520000,0.930001,1181.818182
2020-10-22,44.500000,45.240002,44.360001,45.110001,N/A	,1181.818182
2020-10-23,45.400002,45.549999,44.599998,45.060001,N/A	,1181.818182
2020-10-26,44.709999,44.820000,43.549999,43.770000,N/A	,1181.818182
2020-10-27,43.599998,43.840000,43.360001,43.439999,N/A	,1181.818182
2020-10-28,42.910000,43.080002,41.910000,41.980000,N/A	,1181.818182
2020-10-29,42.080002,43.689999,41.889999,43.060001,1.800000,3538.236336
2020-10-30,42.470001,43.049999,41.750000,42.240002,N/A	,3538.236336
2020-11-02,42.750000,42.930000,40.970001,41.400002,N/A	,3538.236336
2020-11-03,41.950001,42.980000,41.750000,42.619999,N/A	,3538.236336
2020-11-04,44.270000,44.610001,43.400002,43.700001,N/A	,3538.236336
2020-11-05,44.580002,44.810001,44.209999,44.349998,N/A	,3538.236336
2020-11-06,44.570000,44.700001,43.950001,44.529999,N/A	,3538.236336
2020-11-09,47.599998,48.230000,46.720001,47.180000,N/A	,3538.236336
2020-11-10,46.169998,47.959999,45.950001,47.770000,N/A	,3538.236336
2020-11-11,47.779999,47.970001,47.119999,47.669998,N/A	,3538.236336
2020-11-12,47.630001,48.090000,47.250000,47.980000,N/A	,3538.236336
2020-11-13,47.810001,49.250000,47.730000,49.000000,N/A	,3538.236336
2020-11-16,49.400002,49.750000,49.250000,49.540001,N/A	,3538.236336
2020-11-17,49.189999,49.990002,48.980000,49.779999,1.010002,4780.105835
2020-11-18,49.599998,50.380001,49.040001,49.139999,N/A	,4780.105835
2020-11-19,49.209999,49.740002,49.000000,49.480000,N/A	,4780.105835
2020-11-20,49.279999,49.680000,49.099998,49.169998,N/A	,4780.105835
2020-11-23,49.090000,49.980000,48.790001,49.810001,1.189999,6316.911315
2020-11-24,50.000000,52.490002,49.919998,52.340000,N/A	,6316.911315
2020-11-25,52.169998,52.200001,50.779999,51.799999,N/A	,6316.911315
2020-11-27,51.310001,52.209999,51.310001,51.750000,N/A	,6316.911315
2020-11-30,51.130001,51.480000,49.840000,50.240002,N/A	,6316.911315
2020-12-01,50.750000,51.270000,50.110001,51.020000,N/A	,6316.911315
2020-12-02,50.930000,51.340000,50.810001,51.049999,N/A	,6316.911315
2020-12-03,50.770000,51.720001,50.680000,51.590000,1.040001,8034.064501
2020-12-04,51.750000,51.910000,51.490002,51.689999,N/A	,8034.064501
2020-12-07,51.580002,52.020000,51.240002,51.930000,0.779998,8767.133618
2020-12-08,51.299999,51.799999,51.209999,51.410000,N/A	,8767.133618
2020-12-09,51.619999,52.360001,51.150002,51.259998,N/A	,8767.133618
2020-12-10,51.279999,51.279999,50.250000,50.480000,N/A	,8767.133618
2020-12-11,50.570000,51.110001,50.130001,50.930000,N/A	,8767.133618
2020-12-14,50.849998,51.270000,50.750000,50.990002,N/A	,8767.133618
2020-12-15,51.380001,52.099998,51.299999,51.509998,N/A	,8767.133618
2020-12-16,51.680000,52.070000,51.009998,51.430000,N/A	,8767.133618
2020-12-17,51.540001,51.880001,51.080002,51.360001,N/A	,8767.133618
2020-12-18,51.560001,51.599998,50.400002,50.900002,N/A	,8767.133618
2020-12-21,50.520000,50.650002,49.480000,50.369999,N/A	,8767.133618
2020-12-22,50.000000,50.310001,49.799999,50.020000,N/A	,8767.133618
2020-12-23,50.150002,50.270000,49.650002,50.040001,N/A	,8767.133618
2020-12-24,50.200001,50.439999,50.090000,50.380001,N/A	,8767.133618
2020-12-28,50.779999,51.360001,50.529999,51.110001,N/A	,8767.133618
2020-12-29,51.160000,51.730000,51.040001,51.549999,N/A	,8767.133618
2020-12-30,51.689999,51.930000,51.189999,51.209999,N/A	,8767.133618
2020-12-31,51.360001,52.480000,51.240002,52.400002,N/A	,8767.133618
2021-01-04,52.279999,52.400002,49.619999,50.509998,N/A	,8767.133618
2021-01-05,50.160000,50.299999,49.200001,49.980000,N/A	,8767.133618
2021-01-06,49.119999,50.770000,49.099998,50.560001,1.670002,11955.751149
2021-01-07,50.200001,50.980000,50.099998,50.660000,N/A	,11955.751149
2021-01-08,50.360001,51.660000,50.310001,51.540001,N/A	,11955.751149
2021-01-11,51.740002,51.740002,50.730000,51.520000,N/A	,11955.751149
2021-01-12,51.290001,51.549999,49.610001,50.009998,N/A	,11955.751149
2021-01-13,49.619999,50.380001,49.520000,50.160000,N/A	,11955.751149
2021-01-14,50.160000,50.270000,49.439999,49.580002,N/A	,11955.751149
2021-01-15,49.209999,49.259998,48.150002,48.689999,N/A	,11955.751149
2021-01-19,48.669998,49.090000,48.310001,48.849998,N/A	,11955.751149
2021-01-20,48.990002,49.169998,48.660000,48.880001,N/A	,11955.751149
2021-01-21,48.500000,49.270000,48.240002,49.130001,1.029998,13410.024039
2021-01-22,48.840000,48.939999,48.259998,48.680000,N/A	,13410.024039
2021-01-25,48.500000,49.130001,48.320000,48.970001,N/A	,13410.024039
2021-01-26,49.150002,50.209999,48.880001,50.090000,N/A	,13410.024039
2021-01-27,49.470001,50.230000,48.320000,48.419998,N/A	,13410.024039
2021-01-28,50.000000,52.290001,49.779999,51.599998,N/A	,13410.024039
2021-01-29,50.310001,51.200001,49.490002,49.570000,N/A	,13410.024039
2021-02-01,49.860001,50.360001,49.099998,50.150002,N/A	,13410.024039
2021-02-02,50.349998,51.480000,50.070000,51.180000,N/A	,13410.024039
2021-02-03,51.250000,51.529999,50.419998,50.470001,N/A	,13410.024039
2021-02-04,50.330002,51.500000,50.230000,51.450001,N/A	,13410.024039
2021-02-05,51.860001,52.070000,50.939999,51.110001,N/A	,13410.024039
2021-02-08,51.060001,52.080002,51.020000,51.849998,N/A	,13410.024039
2021-02-09,52.000000,52.990002,51.360001,52.720001,N/A	,13410.024039
2021-02-10,53.040001,53.060001,52.040001,52.750000,N/A	,13410.024039
2021-02-11,52.919998,53.310001,52.509998,53.230000,N/A	,13410.024039
